,RVTY
2018-05-04,72.81999969482422
2018-05-07,73.36000061035156
2018-05-08,73.55000305175781
2018-05-09,73.93000030517578
2018-05-10,75.30000305175781
2018-05-11,75.6500015258789
2018-05-14,76.22000122070312
2018-05-15,73.83000183105469
2018-05-16,73.79000091552734
2018-05-17,74.4000015258789
2018-05-18,75.47000122070312
2018-05-21,76.3499984741211
2018-05-22,76.16999816894531
2018-05-23,76.0199966430664
2018-05-24,75.62000274658203
2018-05-25,74.31999969482422
2018-05-29,73.66000366210938
2018-05-30,74.4000015258789
2018-05-31,74.33000183105469
2018-06-01,75.26000213623047
2018-06-04,76.0
2018-06-05,76.5999984741211
2018-06-06,78.30999755859375
2018-06-07,78.08999633789062
2018-06-08,78.30000305175781
2018-06-11,78.94999694824219
2018-06-12,79.38999938964844
2018-06-13,79.0199966430664
2018-06-14,78.33999633789062
2018-06-15,77.83999633789062
2018-06-18,77.52999877929688
2018-06-19,76.3499984741211
2018-06-20,75.47000122070312
2018-06-21,74.19000244140625
2018-06-22,74.36000061035156
2018-06-25,72.87000274658203
2018-06-26,72.81999969482422
2018-06-27,72.0999984741211
2018-06-28,72.38999938964844
2018-06-29,73.2300033569336
2018-07-02,72.58999633789062
2018-07-03,73.1500015258789
2018-07-05,73.77999877929688
2018-07-06,74.31999969482422
2018-07-09,75.37999725341797
2018-07-10,75.98999786376953
2018-07-11,75.02999877929688
2018-07-12,75.55000305175781
2018-07-13,75.66999816894531
2018-07-16,75.5
2018-07-17,76.37000274658203
2018-07-18,76.93000030517578
2018-07-19,78.4000015258789
2018-07-20,78.0
2018-07-23,77.61000061035156
2018-07-24,78.69000244140625
2018-07-25,79.2300033569336
2018-07-26,79.36000061035156
2018-07-27,78.12999725341797
2018-07-30,77.75
2018-07-31,79.18000030517578
2018-08-01,79.9000015258789
2018-08-02,86.55000305175781
2018-08-03,86.31999969482422
2018-08-06,85.66000366210938
2018-08-07,86.55000305175781
2018-08-08,86.08999633789062
2018-08-09,85.58999633789062
2018-08-10,84.91999816894531
2018-08-13,84.5
2018-08-14,85.62999725341797
2018-08-15,84.30000305175781
2018-08-16,85.19000244140625
2018-08-17,85.36000061035156
2018-08-20,85.62999725341797
2018-08-21,86.20999908447266
2018-08-22,86.83999633789062
2018-08-23,86.75
2018-08-24,87.48999786376953
2018-08-27,88.5
2018-08-28,89.20999908447266
2018-08-29,90.08999633789062
2018-08-30,92.5999984741211
2018-08-31,92.43000030517578
2018-09-04,92.45999908447266
2018-09-05,93.05999755859376
2018-09-06,94.41000366210938
2018-09-07,93.56999969482422
2018-09-10,95.12000274658205
2018-09-11,94.62000274658205
2018-09-12,94.93000030517578
2018-09-13,96.23999786376952
2018-09-14,95.73999786376952
2018-09-17,94.58000183105467
2018-09-18,94.95999908447266
2018-09-19,96.33000183105467
2018-09-20,96.58000183105467
2018-09-21,96.61000061035156
2018-09-24,96.29000091552734
2018-09-25,96.26000213623048
2018-09-26,96.80999755859376
2018-09-27,96.91000366210938
2018-09-28,97.2699966430664
2018-10-01,96.73999786376952
2018-10-02,97.0199966430664
2018-10-03,96.36000061035156
2018-10-04,93.45999908447266
2018-10-05,92.01000213623048
2018-10-08,90.6999969482422
2018-10-09,90.75
2018-10-10,86.1500015258789
2018-10-11,84.69000244140625
2018-10-12,86.95999908447266
2018-10-15,85.5999984741211
2018-10-16,89.27999877929688
2018-10-17,90.16000366210938
2018-10-18,87.80999755859375
2018-10-19,86.18000030517578
2018-10-22,86.01000213623047
2018-10-23,85.55000305175781
2018-10-24,82.02999877929688
2018-10-25,84.2300033569336
2018-10-26,83.98999786376953
2018-10-29,83.81999969482422
2018-10-30,85.68000030517578
2018-10-31,86.4800033569336
2018-11-01,81.80000305175781
2018-11-02,83.62000274658203
2018-11-05,83.0199966430664
2018-11-06,84.11000061035156
2018-11-07,86.94000244140625
2018-11-08,86.05999755859375
2018-11-09,85.05999755859375
2018-11-12,82.06999969482422
2018-11-13,81.23999786376953
2018-11-14,79.5999984741211
2018-11-15,81.6500015258789
2018-11-16,82.29000091552734
2018-11-19,80.05999755859375
2018-11-20,80.66000366210938
2018-11-21,80.91000366210938
2018-11-23,81.66999816894531
2018-11-26,82.76000213623047
2018-11-27,82.9800033569336
2018-11-28,85.8499984741211
2018-11-29,86.62999725341797
2018-11-30,87.05999755859375
2018-12-03,90.5999984741211
2018-12-04,86.66000366210938
2018-12-06,86.0199966430664
2018-12-07,83.76000213623047
2018-12-10,82.98999786376953
2018-12-11,85.37000274658203
2018-12-12,86.98999786376953
2018-12-13,86.05000305175781
2018-12-14,83.7300033569336
