,WSM
2018-04-16,24.209999084472656
2018-04-17,24.3799991607666
2018-04-18,24.795000076293945
2018-04-19,24.63500022888184
2018-04-20,24.48500061035156
2018-04-23,24.56999969482422
2018-04-24,24.424999237060547
2018-04-25,24.56999969482422
2018-04-26,24.420000076293945
2018-04-27,24.59000015258789
2018-04-30,23.89999961853028
2018-05-01,24.01499938964844
2018-05-02,24.104999542236328
2018-05-03,24.26000022888184
2018-05-04,24.7450008392334
2018-05-07,24.52499961853028
2018-05-08,24.475000381469727
2018-05-09,24.440000534057617
2018-05-10,24.0049991607666
2018-05-11,24.065000534057617
2018-05-14,24.315000534057617
2018-05-15,24.075000762939453
2018-05-16,24.190000534057617
2018-05-17,24.395000457763672
2018-05-18,24.334999084472656
2018-05-21,24.030000686645508
2018-05-22,23.64999961853028
2018-05-23,24.59000015258789
2018-05-24,25.979999542236328
2018-05-25,26.549999237060547
2018-05-29,27.354999542236328
2018-05-30,27.7549991607666
2018-05-31,27.684999465942383
2018-06-01,27.309999465942383
2018-06-04,29.30500030517578
2018-06-05,30.299999237060547
2018-06-06,30.81999969482422
2018-06-07,30.73500061035156
2018-06-08,31.0049991607666
2018-06-11,30.530000686645508
2018-06-12,31.020000457763672
2018-06-13,30.395000457763672
2018-06-14,30.424999237060547
2018-06-15,31.155000686645508
2018-06-18,31.670000076293945
2018-06-19,31.645000457763672
2018-06-20,32.275001525878906
2018-06-21,32.10499954223633
2018-06-22,31.71500015258789
2018-06-25,30.895000457763672
2018-06-26,31.040000915527344
2018-06-27,30.64999961853028
2018-06-28,30.655000686645508
2018-06-29,30.690000534057617
2018-07-02,30.4950008392334
2018-07-03,30.739999771118164
2018-07-05,30.70499992370605
2018-07-06,30.4950008392334
2018-07-09,30.725000381469727
2018-07-10,30.790000915527344
2018-07-11,30.25
2018-07-12,30.239999771118164
2018-07-13,30.61000061035156
2018-07-16,30.64999961853028
2018-07-17,30.96500015258789
2018-07-18,30.875
2018-07-19,31.3700008392334
2018-07-20,30.790000915527344
2018-07-23,30.23500061035156
2018-07-24,29.709999084472656
2018-07-25,30.104999542236328
2018-07-26,30.0049991607666
2018-07-27,29.07999992370605
2018-07-30,29.39999961853028
2018-07-31,29.2450008392334
2018-08-01,28.325000762939453
2018-08-02,28.84499931335449
2018-08-03,28.940000534057617
2018-08-06,28.96500015258789
2018-08-07,29.315000534057617
2018-08-08,29.604999542236328
2018-08-09,29.75
2018-08-10,29.114999771118164
2018-08-13,28.98500061035156
2018-08-14,29.809999465942383
2018-08-15,29.405000686645508
2018-08-16,28.96999931335449
2018-08-17,29.65999984741211
2018-08-20,30.0
2018-08-21,30.1299991607666
2018-08-22,31.30500030517578
2018-08-23,36.470001220703125
2018-08-24,35.68000030517578
2018-08-27,34.415000915527344
2018-08-28,34.310001373291016
2018-08-29,34.08000183105469
2018-08-30,34.14500045776367
2018-08-31,35.1150016784668
2018-09-04,36.15499877929688
2018-09-05,35.689998626708984
2018-09-06,35.46500015258789
2018-09-07,34.96500015258789
2018-09-10,34.724998474121094
2018-09-11,34.30500030517578
2018-09-12,34.775001525878906
2018-09-13,33.900001525878906
2018-09-14,33.94499969482422
2018-09-17,33.39500045776367
2018-09-18,33.67499923706055
2018-09-19,33.38999938964844
