,FIX
2020-09-28,51.84000015258789
2020-09-29,51.5099983215332
2020-09-30,51.5099983215332
2020-10-01,52.0
2020-10-02,52.59000015258789
2020-10-05,54.04999923706055
2020-10-06,55.18999862670898
2020-10-07,56.20000076293945
2020-10-08,57.619998931884766
2020-10-09,57.63999938964844
2020-10-12,57.97999954223633
2020-10-13,56.41999816894531
2020-10-14,55.77000045776367
2020-10-15,56.4900016784668
2020-10-16,56.06999969482422
2020-10-19,54.59000015258789
2020-10-20,55.459999084472656
2020-10-21,54.900001525878906
2020-10-22,55.5099983215332
2020-10-23,55.11000061035156
2020-10-26,54.18000030517578
2020-10-27,47.18000030517578
2020-10-28,44.220001220703125
2020-10-29,44.68000030517578
2020-10-30,45.79999923706055
2020-11-02,46.630001068115234
2020-11-03,47.54999923706055
2020-11-04,46.31999969482422
2020-11-05,47.68000030517578
2020-11-06,46.59999847412109
2020-11-09,48.41999816894531
2020-11-10,51.11000061035156
2020-11-11,50.59000015258789
2020-11-12,49.630001068115234
2020-11-13,50.34000015258789
2020-11-16,51.04999923706055
2020-11-17,49.79999923706055
2020-11-18,49.27000045776367
2020-11-19,49.790000915527344
2020-11-20,49.220001220703125
2020-11-23,51.0099983215332
2020-11-24,52.369998931884766
2020-11-25,51.400001525878906
2020-11-27,51.41999816894531
2020-11-30,50.38999938964844
2020-12-01,50.119998931884766
2020-12-02,49.93000030517578
2020-12-03,50.88999938964844
2020-12-04,51.40999984741211
2020-12-07,51.380001068115234
2020-12-08,51.34999847412109
2020-12-09,51.93000030517578
2020-12-10,51.060001373291016
2020-12-11,51.09000015258789
2020-12-14,51.34000015258789
2020-12-15,53.119998931884766
2020-12-16,53.41999816894531
2020-12-17,53.72999954223633
2020-12-18,53.20000076293945
2020-12-21,52.709999084472656
2020-12-22,53.63999938964844
2020-12-23,53.619998931884766
